id,topology,noise_p,purification,policy,success,fidelity,hops,path,latency_ms
170,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
171,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
172,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
173,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
174,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
175,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
176,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
177,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
178,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
179,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
180,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
181,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
182,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
183,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
184,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
185,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
186,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
187,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
188,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
189,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
190,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
191,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
192,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
193,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
194,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
195,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
196,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
197,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
198,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
199,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
200,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
201,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
202,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
203,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
204,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
205,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
206,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
207,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
208,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
209,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
210,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
211,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
212,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
213,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
214,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
215,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
216,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
217,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
218,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
219,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
220,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
221,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
222,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
223,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
224,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
225,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
226,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
227,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
228,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
229,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
230,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
231,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
232,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
233,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
234,mesh_3x3,0.005,single,shortest,0,0.6716378009203177,2,N1 -> N5 -> N9,134.2
